1.txt repeat0 877 True False [empty] [empty] True
1.txt repeat1 877 True False [empty] [empty] True
1.txt repeat2 483 True False [empty] [empty] True
1.txt repeat3 877 True False [empty] [empty] True
1.txt repeat4 877 True False [empty] [empty] True
10.txt repeat0 1355 True False 0,1|1,3 [empty] True
10.txt repeat1 1140 True False 0,1|1,3 [empty] True
10.txt repeat2 1355 True False 0,1|1,3 [empty] True
10.txt repeat3 1355 True False 0,1|1,3 [empty] True
10.txt repeat4 1355 True False 0,1|1,3 [empty] True
11.txt repeat0 1162 True False 0,1|2,3 [empty] True
11.txt repeat1 568 True False 0,1 [empty] True
11.txt repeat2 1162 True False 0,1|2,3 [empty] True
11.txt repeat3 1162 True False 0,1|2,3 [empty] True
11.txt repeat4 1162 True False 0,1|2,3 [empty] True
12.txt repeat0 1038 True False 0,2|0,3 [empty] True
12.txt repeat1 1038 True False 0,2|0,3 [empty] True
12.txt repeat2 1038 True False 0,2|0,3 [empty] True
12.txt repeat3 1038 True False 0,2|0,3 [empty] True
12.txt repeat4 1340 True False 0,2|0,3 [empty] True
13.txt repeat0 1096 True False 0,2|1,2 [empty] True
13.txt repeat1 1096 True False 0,2|1,2 [empty] True
13.txt repeat2 1096 True False 0,2|1,2 [empty] True
13.txt repeat3 1096 True False 0,2|1,2 [empty] True
13.txt repeat4 1034 True False 0,2|1,2 [empty] True
14.txt repeat0 1203 True False 0,2|1,3 [empty] True
14.txt repeat1 1203 True False 0,2|1,3 [empty] True
14.txt repeat2 1176 True False 0,2|1,3 [empty] True
14.txt repeat3 1176 True False 0,2|1,3 [empty] True
14.txt repeat4 1176 True False 0,2|1,3 [empty] True
15.txt repeat0 1142 True False 0,2|2,3 [empty] True
15.txt repeat1 1142 True False 0,2|2,3 [empty] True
15.txt repeat2 1155 True False 0,2|2,3 [empty] True
15.txt repeat3 1155 True False 0,2|2,3 [empty] True
15.txt repeat4 1142 True False 0,2|2,3 [empty] True
16.txt repeat0 1026 True False 0,3 [empty] True
16.txt repeat1 1053 True False 0,3|1,2 [empty] True
16.txt repeat2 1026 True False 0,3 [empty] True
16.txt repeat3 1026 True False 0,3 [empty] True
16.txt repeat4 1026 True False 0,3 [empty] True
17.txt repeat0 1175 True False 0,3|1,3 [empty] True
17.txt repeat1 1175 True False 0,3|1,3 [empty] True
17.txt repeat2 1416 True False 0,3|1,3 [empty] True
17.txt repeat3 1416 True False 0,3|1,3 [empty] True
