1.txt math True 0|3|2|0|3|2|1|1 correct
10.txt math True 1|0|0|1|2|2|3|3 correct
100.txt math True 2|1|3|2|3|1|0|0 correct
101.txt math True 2|3|0|3|0|2|1|1 correct
102.txt math True 0|1|2|0|1|2|3|3 correct
103.txt math True 0|1|0|1|2|2|3|3 correct
104.txt math True 0|1|2|0|1|2|3|3 correct
105.txt math True impossible incorrect
106.txt math True 1|2|3|3|0|2|1|1 correct
107.txt math True 3|0|3|1|0|1|2|2 correct
108.txt math True 2|0|1|0|2|1|3|3 correct
109.txt math True 0|1|2|0|2|1|3|3 correct
11.txt math True 0|2|1|3|0|2|3|3 correct
110.txt math True 3|3|0|1|1|3|2|2 correct
111.txt math True impossible incorrect
112.txt math True 1|2|1|2|3|0|3|3 correct
113.txt math True 1|2|0|2|1|3|3|3 correct
114.txt math True 1|0|2|0|1|2|3|3 correct
115.txt math True 1|1|3|3|2|0|2|2 correct
116.txt math True 3|0|0|1|1|3|2|2 correct
117.txt math True 0|0|1|2|3|1|3|3 correct
118.txt math True 1|2|1|1|2|0|3|3 correct
119.txt math True impossible incorrect
12.txt math True 0|0|1|2|1|2|3|3 correct
120.txt math True 1|0|1|2|2|3|3|3 correct
121.txt math True impossible incorrect
122.txt math True 0|1|2|2|1|0|3|3 correct
123.txt math True 2|0|2|1|1|0|3|3 correct
124.txt math True impossible incorrect
125.txt math True 0|1|2|0|1|2|3|3 correct
126.txt math True 1|2|0|2|1|2|3|3 correct
127.txt math True impossible incorrect
128.txt math True 0|0|3|3|1|1|2|2 correct
129.txt math True 1|0|2|3|1|2|3|3 correct
13.txt math True 1|3|3|0|3|1|2|2 correct
130.txt math True impossible incorrect
131.txt math True impossible incorrect
132.txt math True 3|0|0|1|1|2|2|2 correct
133.txt math True 0|0|1|3|3|1|2|2 correct
134.txt math True 0|1|2|2|0|1|3|3 correct
135.txt math True impossible incorrect
136.txt math True impossible incorrect
137.txt math True impossible incorrect
138.txt math True impossible incorrect
139.txt math True impossible incorrect
14.txt math True 1|2|3|2|0|3|1|1 correct
140.txt math True 0|0|1|1|2|2|3|3 correct
141.txt math True impossible incorrect
142.txt math True 1|2|0|1|2|2|3|3 correct
143.txt math True 3|0|0|1|1|3|2|2 correct
144.txt math True 0|0|2|1|1|2|3|3 correct
145.txt math True impossible incorrect
146.txt math True 0|1|1|2|2|0|3|3 correct
147.txt math True 0|1|2|3|3|1|2|2 correct
148.txt math True impossible incorrect
149.txt math True impossible incorrect
15.txt math True impossible incorrect
150.txt math True 0|1|2|1|0|2|3|3 correct
151.txt math True impossible incorrect
152.txt math True 1|0|2|1|2|3|3|3 correct
153.txt math True impossible incorrect
154.txt math True 1|3|3|1|3|0|2|2 correct
155.txt math True 0|1|2|3|0|2|3|3 correct
156.txt math True 0|1|2|0|2|1|3|3 correct
157.txt math True 0|1|2|1|2|0|3|3 correct
158.txt math True 2|0|1|0|2|1|3|3 correct
159.txt math True impossible incorrect
16.txt math True 1|0|2|1|0|2|3|3 correct
160.txt math True 2|1|0|0|1|2|3|3 correct
161.txt math True 3|3|3|1|1|0|2|2 correct
162.txt math True 2|1|3|0|3|2|1|1 correct
163.txt math True 0|3|1|0|3|1|2|2 correct
164.txt math True 2|0|2|2|1|3|3|3 correct
165.txt math True 3|1|0|0|3|1|2|2 correct
166.txt math True 3|0|1|0|3|1|2|2 correct
167.txt math True 0|0|1|2|2|1|3|3 correct
168.txt math True 2|1|2|0|1|0|3|3 correct
169.txt math True impossible incorrect
17.txt math True impossible incorrect
170.txt math True 2|2|2|1|1|0|3|3 correct
171.txt math True 3|1|1|2|2|3|0|0 correct
172.txt math True impossible incorrect
173.txt math True 3|2|0|0|2|3|1|1 correct
174.txt math True impossible incorrect
175.txt math True 1|2|0|3|2|1|3|3 correct
176.txt math True 2|1|0|1|2|0|3|3 correct
177.txt math True impossible incorrect
178.txt math True 2|0|1|1|0|2|3|3 correct
179.txt math True 3|3|1|0|1|0|2|2 correct
18.txt math True 1|2|0|0|1|2|3|3 correct
180.txt math True 0|0|1|1|1|2|3|3 correct
181.txt math True 1|0|1|0|2|2|3|3 correct
182.txt math True impossible incorrect
183.txt math True impossible incorrect
184.txt math True 3|1|3|0|1|0|2|2 correct
185.txt math True impossible incorrect
186.txt math True impossible incorrect
187.txt math True 1|0|0|3|1|3|2|2 correct
188.txt math True impossible incorrect
189.txt math True impossible incorrect
19.txt math True impossible incorrect
190.txt math True 0|1|2|1|0|2|3|3 correct
191.txt math True impossible incorrect
192.txt math True impossible incorrect
193.txt math True impossible incorrect
194.txt math True 0|2|0|1|1|2|3|3 correct
195.txt math True impossible incorrect
196.txt math True 0|1|3|0|1|3|2|2 correct
197.txt math True impossible incorrect
198.txt math True impossible incorrect
199.txt math True 1|1|2|3|3|0|2|2 correct
2.txt math True 2|0|0|1|2|1|3|3 correct
20.txt math True 2|1|3|0|2|1|3|3 correct
200.txt math True 2|0|2|0|3|3|1|1 correct
201.txt math True 1|0|2|1|0|2|3|3 correct
202.txt math True 0|1|1|2|2|0|3|3 correct
203.txt math True 0|1|1|2|0|2|3|3 correct
204.txt math True impossible incorrect
205.txt math True impossible incorrect
206.txt math True impossible incorrect
207.txt math True 1|2|0|2|2|1|3|3 correct
208.txt math True 1|3|1|2|0|2|3|3 correct
209.txt math True 1|2|3|2|1|3|0|0 correct
21.txt math True impossible incorrect
210.txt math True 1|2|3|2|3|1|0|0 correct
211.txt math True impossible incorrect
212.txt math True impossible incorrect
213.txt math True impossible incorrect
214.txt math True impossible incorrect
215.txt math True impossible incorrect
216.txt math True impossible incorrect
217.txt math True 2|0|1|1|0|2|3|3 correct
218.txt math True impossible incorrect
219.txt math True 0|3|0|1|3|1|2|2 correct
22.txt math True impossible incorrect
